שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אעבלין,529,I'BILLIN,2,24,241,99,241,2,13128,17,3,13111,,270,,2176474799,19,261,10004497,2018,I'billin,
אעצם (שבט),963,A'SAM,6,62,623,,,3,,,,,,460,,1910056100,,699,15003711,2018,A'sam,
אפיניש (שבט),959,AFEINISH,6,62,623,,,3,,,,,,460,,1990058000,,699,10001937,2018,Afaynish,
אפיק,4301,AFIQ,2,29,294,71,,1,329,329,289,,1967,330,15,2660674275,309,219,10004579,2018,Afiq,211
אפיקים,176,AFIQIM,2,22,221,6,,1,1494,1490,1427,4,1932,330,15,2544973191,-202,214,10004552,2018,Afiqim,214
אפק,313,AFEQ,2,24,246,4,241,1,684,671,665,13,1939,330,15,2122974931,11,201,10004207,2018,Afeq,212
אפרת,3650,EFRAT,7,76,,99,445,1,10088,10088,10064,,1980,170,,2149861904,667,704,15000586,2018,Efrat,
ארבל,701,ARBEL,2,22,222,3,,1,738,738,729,,1949,310,1,2456774647,20,206,10004552,2018,Arbel,214
ארגמן,3598,ARGAMAN,7,75,,75,,1,133,133,130,,1968,310,9,2495167550,-200,712,10003262,2018,Argaman,
ארז,714,EREZ,6,61,614,37,,1,517,517,506,,1949,330,15,1588860773,30,651,10001829,2018,Erez,620
אריאל,3570,ARI'EL,7,73,,0,145,1,20456,19866,16191,590,1978,160,,2178666790,350,701,10003262,2018,Ari'el,
ארסוף,1324,ARSUF,4,41,411,19,141,1,166,166,147,,1995,350,,1828768007,28,401,15000060,2018,Arsuf,
אשבול,71,ESHBOL,6,62,621,42,,1,635,635,631,,1955,310,1,1683959504,158,651,10001930,2018,Eshbol,620
אשבל,1276,ESHBAL,2,24,241,56,241,1,125,124,120,1,1979,330,10,2288975354,245,205,10004513,2018,Eshbal,210
אשדוד,70,ASHDOD,6,61,613,0,143,1,224628,224328,201388,300,1955,130,,1668963375,-14,603,10001836,2018,Ashdod,
אשדות יעקב (איחוד),199,ASHDOT YA'AQOV(IHUD),2,22,221,6,,1,981,978,950,3,1933,330,15,2547172936,-206,214,10004552,2018,Ashdot Ya'aqov(Ihud),214
אשדות יעקב (מאוחד),188,ASHDOT YA'AQOV(ME'UHAD),2,22,221,6,,1,513,509,476,4,1933,330,15,2549172982,-200,214,10004552,2018,Ashdot Ya'aqov(Me'uhad),214
אשחר,1188,ESHHAR,2,24,241,56,241,1,918,917,908,1,1986,370,13,2284175455,334,205,10004513,2018,Eshhar,210
אשכולות,3722,ESHKOLOT,7,77,,78,,1,567,567,563,,1982,370,11,1909858882,498,715,15003512,2018,Eshkolot,
